_csv0,有効,vschara,talk00,talk01,talk02,talk03,talk04
kakeai_pl024_01,〇,pl016_山本元柳斎重國,pl024nd100074_fev,pl016nd100034_fev,,,
kakeai_pl024_02,〇,pl033_スターク,pl024nd400016_fev,pl033nd400014_fev,,,
kakeai_pl025_00,〇,pl011_檜佐木修兵,pl025nd400013_fev,pl011nd400025_fev,,,
kakeai_pl025_01,〇,pl023_狛村左陣,pl025nd400009_fev,pl023nd400043_fev,,,
kakeai_pl025_02,〇,pl027_更木剣八,pl025nd100016_fev,pl027nd100118_fev,,,
kakeai_pl025_03,〇,pl038_グリムジョー,pl025nd200001_fev,pl038nd200036_fev,,,
kakeai_pl026_00,〇,pl000_黒崎一護,pl000nd200095_fev,pl026nd200002_fev,,,
kakeai_pl026_01,〇,pl018_市丸ギン,pl026nd100043_fev,pl018nd100034_fev,,,
kakeai_pl026_02,〇,pl020_藍染惣右介,pl026nd100114_fev,pl020nd100063_fev,pl020nd100064_fev,,
kakeai_pl026_03,〇,pl012_松本乱菊,pl026nd400005_fev,pl012nd400003_fev,,,
kakeai_pl026_04,〇,pl035_ハリベル,pl026nd400032_fev,pl035nd400019_fev,pl026nd400033_fev,,
kakeai_pl027_00,〇,pl000_黒崎一護,pl027nd100012_fev,pl000nd101014_fev,pl027nd100014_fev,pl027nd100015_fev,
kakeai_pl027_01,〇,pl023_狛村左陣,pl027nd100148_fev,pl023nd100019_fev,,,
kakeai_pl027_02,〇,pl025_東仙要,pl027nd100134_fev,pl025nd100033_fev,,,
kakeai_pl027_03,〇,pl037_ノイトラ,pl027nd300018_fev,pl037nd300086_fev,,,
kakeai_pl029_00,〇,pl003_石田雨竜,pl029nd100017_fev,pl029nd100018_fev,pl003nd100073_fev,,
kakeai_pl029_01,〇,pl039_ザエルアポロ,pl029nd300002_fev,pl039nd300137_fev,pl039nd300138_fev,,
kakeai_pl031_00,〇,pl010_朽木ルキア,pl031nd110068_fev,pl010nd110045_fev,,,
kakeai_pl032_00,〇,pl000_黒崎一護,pl032nd200008_fev,pl000nd200042_fev,pl032nd200010_fev,,
kakeai_pl032_01,〇,pl001_黒崎一護［卍解］,pl032nd200053_fev,pl000nd201009_fev,pl000nd201010_fev,,
kakeai_pl032_02,〇,pl006_浦原喜助,pl032nd210001_fev,pl006nd210019_fev,pl032nd210004_fev,,
kakeai_pl032_03,〇,pl018_市丸ギン,pl032nd400059_fev,pl018nd400008_fev,,,
kakeai_pl032_04,〇,pl020_藍染惣右介,pl032nd400036_fev,pl020nd400023_fev,,,
kakeai_pl033_00,〇,pl024_京楽春水,pl033nd400014_fev,pl024nd400018_fev,,,
kakeai_pl035_00,〇,pl020_藍染惣右介,pl035nd400023_fev,pl020nd400014_fev,,,
kakeai_pl035_01,〇,pl026_日番谷冬獅郎,pl035nd400015_fev,pl026nd400020_fev,,,
kakeai_pl036_00,〇,pl001_黒崎一護［卍解］,pl036nd300040_fev,pl000nd300118_fev,pl036nd300041_fev,,
kakeai_pl036_01,〇,pl003_石田雨竜,pl036nd300145_fev,pl036nd300146_fev,pl003nd301020_fev,,
kakeai_pl036_02,〇,pl037_ノイトラ,pl036nd310026_fev,pl037nd300007_fev,,,
kakeai_pl037_00,〇,pl001_黒崎一護［卍解］,pl037nd300020_fev,pl000nd300185_fev,pl037nd300021_fev,,
kakeai_pl037_01,〇,pl027_更木剣八,pl037nd300077_fev,pl027nd300011_fev,pl037nd300078_fev,,
kakeai_pl037_02,〇,pl042_ネリエル,pl037nd310155_fev,pl042nd310079_fev,pl037nd310156_fev,,
kakeai_pl038_00,〇,pl001_黒崎一護［卍解］,pl000nd300155_fev,pl038nd300056_fev,,,
kakeai_pl038_01,〇,pl025_東仙要,pl038nd210057_fev,pl025nd200002_fev,,,
kakeai_pl038_02,〇,pl032_平子真子,pl038nd200086_fev,pl032nd200095_fev,,,
kakeai_pl038_03,〇,pl036_ウルキオラ,pl038nd300041_fev,pl038nd300042_fev,pl036nd200037_fev,,
kakeai_pl038_04,〇,pl037_ノイトラ,pl038nd310071_fev,pl037nd310020_fev,,,
kakeai_pl039_00,〇,pl003_石田雨竜,pl039nd300048_fev,pl003nd300075_fev,pl039nd300049_fev,,
kakeai_pl039_01,〇,pl008_阿散井恋次,pl039nd300015_fev,pl008nd300029_fev,,,
kakeai_pl039_02,〇,pl029_涅マユリ,pl039nd300136_fev,pl029nd300001_fev,,,
kakeai_pl042_00,〇,pl001_黒崎一護［卍解］,pl000nd301002_fev,pl042nd300002_fev,,,
kakeai_pl042_01,〇,pl037_ノイトラ,pl037nd310155_fev,pl042nd310079_fev,pl037nd310156_fev,,
